State,ACTION,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,Input (tokens):?
,Let,id,be,.,maps,to,num,bool,>>,",",if,then,else,<,=,+,*,num_lit,bool_lit,(,),Compute,$,Z,L,S,D,T,F,G,I,E,B,A,M,U,P,C,
0,s6,,,,,,,,,,,,,,,,,,,,,s4,,,1,3,5,,,,,,,,,,,2,Maximum number of steps:?
1,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,
3,s6,,,,,,,,,,,,,,,,,,,,,s4,,,,,8,,,,,,,,,,,7,
4,,s17,,,,,,,,,s10,,,,,,,s15,s16,s18,,,,,,,,,,,,9,,11,12,13,14,,
5,r4,,,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,,,,,,,
6,,,,,,,s21,s22,,,,,,,,,,,,,,,,,,,,19,20,23,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,
8,r3,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,
9,,,,s24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,s17,,,,,,,,,,,,,,,,s15,s16,s18,,,,,,,,,,,,,25,,,,26,,
11,,,,r15,,,,,,,,,,,,s27,,,,,r15,,,,,,,,,,,,,,,,,,
12,,,,r20,,,,,,,,,r20,,,r20,s28,,,,r20,,,,,,,,,,,,,,,,,,
13,,s17,,r22,,,,,,,,,r22,,,r22,r22,s15,s16,s18,r22,,,,,,,,,,,,,,,,29,,
14,,r24,,r24,,,,,,,,,r24,,,r24,r24,r24,r24,r24,r24,,,,,,,,,,,,,,,,,,
15,,r25,,r25,,,,,,,,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,,,,,,,,,,,,,,,,,,
16,,r26,,r26,,,,,,,,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,,,,,,,,,,,,,,,,,,
17,,r27,,r27,,,,,,,,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,,,,,,,,,,,,,,,,,,
